k,Kmeans,GMM
2,0.29362853915853043,0.09007801609270788
3,0.3056388166203719,0.03462128605096135
4,0.2856712853116118,0.07106099886586179
5,0.2884390227650552,0.03826289436620903
6,0.2871916216633542,0.09046313334301981
7,0.21586087782878172,0.06284259044444457
10,0.19975180589148986,0.03846994877885875
15,0.17029715138802795,-0.01760493258968405
20,0.18618855005971818,0.03892354283167892
25,0.17691314816402837,-0.0019631059732411822
30,0.1786972105104775,-0.04137601089434097
35,0.17848043446897488,-0.0946071177127663
40,0.17095005561302126,-0.060923526062533394
45,0.1650962121523414,-0.05007646316874413
50,0.17125449132615,-0.06621369404034198
